audit_event_id,event_at,actor,event_type,entity_type,entity_id,restaurant_id,related_deal_id,related_source_id,related_source_capture_id,related_direct_confirmation_id,related_source_check_id,related_review_task_id,before_state_ref,after_state_ref,summary,evidence_ref,notes,fixture_data_class,is_live_data,prototype_notice
aud-beat-street-tacos-published,2026-06-01T22:20:00-04:00,codex_phase_1c,deal_published,deal,deal-beat-street-tuesday-2-tacos,beat-street,deal-beat-street-tuesday-2-tacos,src-beat-street-primary,cap-beat-street-2026-06-01,,chk-beat-street-2026-06-01,rt-beat-street-tacos-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-beat-street-tuesday-2-tacos,fixtures/prototype/deals.csv#deal-beat-street-tuesday-2-tacos,Source-backed Beat Street taco deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-beat-street-primary.md,Static prototype only; not live data.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-ponysaurus-wings-published,2026-06-02T09:40:00-04:00,codex_phase_1d,deal_published,deal,deal-ponysaurus-monday-half-price-wings,ponysaurus-wilmington,deal-ponysaurus-monday-half-price-wings,src-ponysaurus-wilmington-primary,cap-ponysaurus-wilmington-2026-06-02,,chk-ponysaurus-wilmington-2026-06-02,rt-ponysaurus-wings-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-ponysaurus-monday-half-price-wings,fixtures/prototype/deals.csv#deal-ponysaurus-monday-half-price-wings,Source-backed Ponysaurus wings deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-ponysaurus-wilmington-primary.md,Static prototype only; beer/pitcher copy suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-ponysaurus-pizza-published,2026-06-02T09:40:00-04:00,codex_phase_1d,deal_published,deal,deal-ponysaurus-tuesday-10-pizza,ponysaurus-wilmington,deal-ponysaurus-tuesday-10-pizza,src-ponysaurus-wilmington-primary,cap-ponysaurus-wilmington-2026-06-02,,chk-ponysaurus-wilmington-2026-06-02,rt-ponysaurus-pizza-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-ponysaurus-tuesday-10-pizza,fixtures/prototype/deals.csv#deal-ponysaurus-tuesday-10-pizza,Source-backed Ponysaurus pizza deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-ponysaurus-wilmington-primary.md,Static prototype only; food-only copy approved.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-ponysaurus-burger-published,2026-06-02T09:40:00-04:00,codex_phase_1d,deal_published,deal,deal-ponysaurus-wednesday-half-price-burger,ponysaurus-wilmington,deal-ponysaurus-wednesday-half-price-burger,src-ponysaurus-wilmington-primary,cap-ponysaurus-wilmington-2026-06-02,,chk-ponysaurus-wilmington-2026-06-02,rt-ponysaurus-burger-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-ponysaurus-wednesday-half-price-burger,fixtures/prototype/deals.csv#deal-ponysaurus-wednesday-half-price-burger,Source-backed Ponysaurus burger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-ponysaurus-wilmington-primary.md,Static prototype only; food-only copy approved.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-caprice-bistro-coq-au-vin-published,2026-06-02T10:25:00-04:00,codex_phase_1e,deal_published,deal,deal-caprice-bistro-tuesday-coq-au-vin,caprice-bistro,deal-caprice-bistro-tuesday-coq-au-vin,src-caprice-bistro-primary,cap-caprice-bistro-2026-06-02,,chk-caprice-bistro-2026-06-02,rt-caprice-coq-au-vin-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-caprice-bistro-tuesday-coq-au-vin,fixtures/prototype/deals.csv#deal-caprice-bistro-tuesday-coq-au-vin,Source-backed Caprice Bistro Coq au Vin Tuesday deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,Static prototype only; alcohol and drink-adjacent page copy suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-meatball-sub-published,2026-06-02T10:25:00-04:00,codex_phase_1e,deal_published,deal,deal-hells-kitchen-tuesday-meatball-sub,hells-kitchen,deal-hells-kitchen-tuesday-meatball-sub,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02,,chk-hells-kitchen-2026-06-02,rt-hells-kitchen-meatball-sub-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hells-kitchen-tuesday-meatball-sub,fixtures/prototype/deals.csv#deal-hells-kitchen-tuesday-meatball-sub,Source-backed Hell's Kitchen meatball sub Tuesday deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype only; drink special copy suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-c-street-mexican-grill-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-c-street-mexican-grill-seed-review,c-street-mexican-grill,,src-c-street-mexican-grill-primary,cap-c-street-mexican-grill-2026-06-01,,,rt-c-street-mexican-grill-seed-review,,status=open,Opened seed review task: Verify official Wilmington address before public output.,cap-c-street-mexican-grill-2026-06-01,questionable_address;multi_location_risk,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-cornelias-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-cornelias-seed-review,cornelias,,src-cornelias-primary,cap-cornelias-2026-06-01,,,rt-cornelias-seed-review,,status=open,Opened seed review task: Confirm public restaurant access because location is at The Davis Community.,cap-cornelias-2026-06-01,public_access_unclear,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-kornerstone-bistro-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-kornerstone-bistro-seed-review,kornerstone-bistro,,src-kornerstone-bistro-primary,cap-kornerstone-bistro-2026-06-01,,,rt-kornerstone-bistro-seed-review,,status=open,Opened seed review task: Review weekly specials for food-only MVP copy.,cap-kornerstone-bistro-2026-06-01,mixed_food_alcohol;alcohol_suppression,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-roko-italian-cuisine-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-roko-italian-cuisine-seed-review,roko-italian-cuisine,,src-roko-italian-cuisine-primary,cap-roko-italian-cuisine-2026-06-01,,,rt-roko-italian-cuisine-seed-review,,status=open,Opened seed review task: Review weekly specials for alcohol-only risk and location-specific evidence.,cap-roko-italian-cuisine-2026-06-01,mixed_food_alcohol;multi_location_risk,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-fortunate-glass-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-fortunate-glass-seed-review,fortunate-glass,,src-fortunate-glass-primary,cap-fortunate-glass-2026-06-01,,,rt-fortunate-glass-seed-review,,status=open,Opened seed review task: Review tapas/wine bar source for food-only publishability.,cap-fortunate-glass-2026-06-01,mixed_food_alcohol;alcohol_suppression,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-tomiko-san-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-tomiko-san-seed-review,tomiko-san,,src-tomiko-san-primary,cap-tomiko-san-2026-06-01,,,rt-tomiko-san-seed-review,,status=open,Opened seed review task: Review sushi-hour source for food-safe copy.,cap-tomiko-san-2026-06-01,mixed_food_alcohol;food_safe_copy_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-yosake-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-yosake-seed-review,yosake,,src-yosake-primary,cap-yosake-2026-06-01,,,rt-yosake-seed-review,,status=open,Opened seed review task: Review happy-hour food source for exclusions and food-safe copy.,cap-yosake-2026-06-01,mixed_food_alcohol;food_safe_copy_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-the-half-downtown-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-the-half-downtown-seed-review,the-half-downtown,,src-the-half-downtown-primary,cap-the-half-downtown-2026-06-01,,,rt-the-half-downtown-seed-review,,status=open,Opened seed review task: Confirm location-specific source and partner-platform permissions.,cap-the-half-downtown-2026-06-01,multi_location_risk;partner_platform,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-pinpoint-restaurant-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-pinpoint-restaurant-seed-review,pinpoint-restaurant,,src-pinpoint-restaurant-primary,cap-pinpoint-restaurant-2026-06-01,,,rt-pinpoint-restaurant-seed-review,,status=open,Opened seed review task: Confirm official source path and exact oyster/menu terms.,cap-pinpoint-restaurant-2026-06-01,multi_location_risk;exact_terms_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-tacobaby-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-tacobaby-seed-review,tacobaby,,src-tacobaby-primary,cap-tacobaby-2026-06-01,,,rt-tacobaby-seed-review,,status=open,Opened seed review task: Capture exact current lunch/daily-special terms before public deal row.,cap-tacobaby-2026-06-01,exact_terms_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-true-blue-butcher-table-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-true-blue-butcher-table-seed-review,true-blue-butcher-table,,src-true-blue-butcher-table-primary,cap-true-blue-butcher-table-2026-06-01,,,rt-true-blue-butcher-table-seed-review,,status=open,Opened seed review task: Capture exact current weekly-deal terms before public deal row.,cap-true-blue-butcher-table-2026-06-01,exact_terms_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-za-pie-pizzeria-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-za-pie-pizzeria-seed-review,za-pie-pizzeria,,src-za-pie-pizzeria-primary,cap-za-pie-pizzeria-2026-06-01,,,rt-za-pie-pizzeria-seed-review,,status=open,Opened seed review task: Confirm standing combo/special terms before public deal row.,cap-za-pie-pizzeria-2026-06-01,exact_terms_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-tidewater-oyster-bar-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-tidewater-oyster-bar-seed-review,tidewater-oyster-bar,,src-tidewater-oyster-bar-primary,cap-tidewater-oyster-bar-2026-06-01,,,rt-tidewater-oyster-bar-seed-review,,status=open,Opened seed review task: Clarify generally described daily/weekly specials.,cap-tidewater-oyster-bar-2026-06-01,exact_terms_required,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
ae-rt-block-taco-seed-review,2026-06-01T13:00:00-04:00,codex_seed_audit,review_task_opened,review_task,rt-block-taco-seed-review,block-taco,,src-block-taco-primary,cap-block-taco-2026-06-01,,,rt-block-taco-seed-review,,status=open,Opened seed review task: Capture exact current specials and avoid unsupported award claims.,cap-block-taco-2026-06-01,exact_terms_required;no_award_claims,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-beat-street-smashburgers-published,2026-06-02T13:15:00-04:00,codex_phase_1h,deal_published,deal,deal-beat-street-wednesday-7-smashburgers,beat-street,deal-beat-street-wednesday-7-smashburgers,src-beat-street-primary,cap-beat-street-2026-06-02-smashburgers,,chk-beat-street-2026-06-02-smashburgers,rt-beat-street-smashburgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-beat-street-wednesday-5-burger,fixtures/prototype/deals.csv#deal-beat-street-wednesday-7-smashburgers,Source-backed Beat Street Wednesday smashburger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-beat-street-primary.md,Static prototype deal; supersedes the older user-note $5 burger claim and uses current official wording.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-smash-burgers-published,2026-06-02T13:15:00-04:00,codex_phase_1h,deal_published,deal,deal-true-blue-butcher-table-wednesday-7-smash-burgers,true-blue-butcher-table,deal-true-blue-butcher-table-wednesday-7-smash-burgers,src-true-blue-butcher-table-primary,cap-true-blue-butcher-table-2026-06-02-smash-burgers,,chk-true-blue-butcher-table-2026-06-02-smash-burgers,rt-true-blue-smash-burgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-table-wednesday-5-burger,fixtures/prototype/deals.csv#deal-true-blue-butcher-table-wednesday-7-smash-burgers,Source-backed True Blue Butcher & Table Wednesday smash burger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-table-primary.md,Static prototype deal; supersedes the older user-note $5 burger claim and uses current official wording.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-rx-oyster-happy-hour-published,2026-06-02T13:15:00-04:00,codex_phase_1h,deal_published,deal,deal-rx-chicken-oysters-wed-fri-half-price-oysters,rx-chicken-oysters,deal-rx-chicken-oysters-wed-fri-half-price-oysters,src-rx-chicken-oysters-primary,cap-rx-chicken-oysters-2026-06-02-oyster-happy-hour,,chk-rx-chicken-oysters-2026-06-02-oyster-happy-hour,rt-rx-oyster-happy-hour-public-review,research/source-verification-2026-06-01.md,fixtures/prototype/deals.csv#deal-rx-chicken-oysters-wed-fri-half-price-oysters,Source-backed Rx Chicken & Oysters oyster happy hour approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-rx-chicken-oysters-primary.md,Static prototype deal; food-only copy approved and alcohol specials suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-empanadas-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-monday-4-empanadas,south-front-tavern,deal-south-front-tavern-monday-4-empanadas,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-empanadas-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-monday-4-empanadas,fixtures/prototype/deals.csv#deal-south-front-tavern-monday-4-empanadas,Source-backed South Front Tavern Monday empanada deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-quesadillas-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-wednesday-half-price-quesadillas,south-front-tavern,deal-south-front-tavern-wednesday-half-price-quesadillas,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-quesadillas-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-wednesday-1-2-price-quesadillas,fixtures/prototype/deals.csv#deal-south-front-tavern-wednesday-half-price-quesadillas,Source-backed South Front Tavern Wednesday quesadilla deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and dine-in restriction captured.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-smashburger-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-thursday-5-smashburger,south-front-tavern,deal-south-front-tavern-thursday-5-smashburger,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-smashburger-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-thursday-5-smashburger,fixtures/prototype/deals.csv#deal-south-front-tavern-thursday-5-smashburger,Source-backed South Front Tavern Thursday SmashBurger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and dine-in restriction captured.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-bar-bites-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-friday-5-bar-bites,south-front-tavern,deal-south-front-tavern-friday-5-bar-bites,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-bar-bites-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-friday-5-bar-bites,fixtures/prototype/deals.csv#deal-south-front-tavern-friday-5-bar-bites,Source-backed South Front Tavern Friday bar bites deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and time window captured.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-cardinal-pizza-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-the-cardinal-tuesday-half-price-pizza,the-cardinal,deal-the-cardinal-tuesday-half-price-pizza,src-the-cardinal-primary,cap-the-cardinal-2026-06-02-weekly-food-specials,,chk-the-cardinal-2026-06-02-weekly-food-specials,rt-cardinal-pizza-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-the-cardinal-tuesday-half-price-pizza,fixtures/prototype/deals.csv#deal-the-cardinal-tuesday-half-price-pizza,Source-backed The Cardinal Tuesday pizza deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-the-cardinal-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-cardinal-burgers-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-the-cardinal-wednesday-5-burgers,the-cardinal,deal-the-cardinal-wednesday-5-burgers,src-the-cardinal-primary,cap-the-cardinal-2026-06-02-weekly-food-specials,,chk-the-cardinal-2026-06-02-weekly-food-specials,rt-cardinal-burgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-the-cardinal-wednesday-5-burgers,fixtures/prototype/deals.csv#deal-the-cardinal-wednesday-5-burgers,Source-backed The Cardinal Wednesday burger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-the-cardinal-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-kornerstone-mussels-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-kornerstone-bistro-tuesday-half-price-mussels,kornerstone-bistro,deal-kornerstone-bistro-tuesday-half-price-mussels,src-kornerstone-bistro-primary,cap-kornerstone-bistro-2026-06-02-weekly-food-specials,,chk-kornerstone-bistro-2026-06-02-weekly-food-specials,rt-kornerstone-mussels-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-kornerstone-bistro-tuesday-1-2-price-mussels,fixtures/prototype/deals.csv#deal-kornerstone-bistro-tuesday-half-price-mussels,Source-backed Kornerstone Bistro Tuesday mussels deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-kornerstone-bistro-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-caprice-mussel-mondays-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-caprice-bistro-monday-mussel-mondays,caprice-bistro,deal-caprice-bistro-monday-mussel-mondays,src-caprice-bistro-primary,cap-caprice-bistro-2026-06-02-expanded-specials,,chk-caprice-bistro-2026-06-02-expanded-specials,rt-caprice-mussel-mondays-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-caprice-bistro-monday-mussel-mondays,fixtures/prototype/deals.csv#deal-caprice-bistro-monday-mussel-mondays,Source-backed Caprice Bistro Mussel Mondays deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
