audit_event_id,event_at,actor,event_type,entity_type,entity_id,restaurant_id,related_deal_id,related_source_id,related_source_capture_id,related_direct_confirmation_id,related_source_check_id,related_review_task_id,before_state_ref,after_state_ref,summary,evidence_ref,notes,fixture_data_class,is_live_data,prototype_notice
aud-caprice-petit-plates-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-caprice-bistro-daily-7-petit-plates,caprice-bistro,deal-caprice-bistro-daily-7-petit-plates,src-caprice-bistro-primary,cap-caprice-bistro-2026-06-02-expanded-specials,,chk-caprice-bistro-2026-06-02-expanded-specials,rt-caprice-petit-plates-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-caprice-bistro-daily-7-petit-plates,fixtures/prototype/deals.csv#deal-caprice-bistro-daily-7-petit-plates,Source-backed Caprice Bistro $7 Petit Plates deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-appetizers-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-true-blue-butcher-table-fri-sat-half-priced-appetizers,true-blue-butcher-table,deal-true-blue-butcher-table-fri-sat-half-priced-appetizers,src-true-blue-butcher-table-primary,cap-true-blue-butcher-table-2026-06-02-half-priced-appetizers,,chk-true-blue-butcher-table-2026-06-02-half-priced-appetizers,rt-true-blue-appetizers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-table-friday-saturday-half-priced-appetizers,fixtures/prototype/deals.csv#deal-true-blue-butcher-table-fri-sat-half-priced-appetizers,Source-backed True Blue Butcher & Table Half-priced appetizers deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-table-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-za-pie-one-stop-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-za-pie-pizzeria-daily-one-stop-special,za-pie-pizzeria,deal-za-pie-pizzeria-daily-one-stop-special,src-za-pie-pizzeria-primary,cap-za-pie-pizzeria-2026-06-02-menu-specials,,chk-za-pie-pizzeria-2026-06-02-menu-specials,rt-za-pie-one-stop-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-za-pie-pizzeria-daily-one-stop-special,fixtures/prototype/deals.csv#deal-za-pie-pizzeria-daily-one-stop-special,Source-backed Za Pie Pizzeria One Stop Special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-za-pie-pizzeria-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-za-pie-dinner-for-two-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-za-pie-pizzeria-daily-dinner-for-two,za-pie-pizzeria,deal-za-pie-pizzeria-daily-dinner-for-two,src-za-pie-pizzeria-primary,cap-za-pie-pizzeria-2026-06-02-menu-specials,,chk-za-pie-pizzeria-2026-06-02-menu-specials,rt-za-pie-dinner-for-two-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-za-pie-pizzeria-daily-dinner-for-two,fixtures/prototype/deals.csv#deal-za-pie-pizzeria-daily-dinner-for-two,Source-backed Za Pie Pizzeria Dinner For Two deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-za-pie-pizzeria-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-block-taco-mon-tue-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-block-taco-mon-tue-10-tacos-chips-salsa,block-taco,deal-block-taco-mon-tue-10-tacos-chips-salsa,src-block-taco-primary,cap-block-taco-2026-06-02-current-specials,,chk-block-taco-2026-06-02-current-specials,rt-block-taco-mon-tue-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-block-taco-monday-tuesday-taco-monday-and-tuesdays,fixtures/prototype/deals.csv#deal-block-taco-mon-tue-10-tacos-chips-salsa,Source-backed Block Taco Taco Monday & Tuesdays deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-block-taco-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-block-taco-brunch-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-block-taco-fri-sun-20-brunch-special,block-taco,deal-block-taco-fri-sun-20-brunch-special,src-block-taco-primary,cap-block-taco-2026-06-02-current-specials,,chk-block-taco-2026-06-02-current-specials,rt-block-taco-brunch-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-block-taco-friday-saturday-sunday-weekend-brunch-special,fixtures/prototype/deals.csv#deal-block-taco-fri-sun-20-brunch-special,Source-backed Block Taco Weekend Brunch Special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-block-taco-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-caesar-wrap-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-hells-kitchen-monday-caesar-wrap,hells-kitchen,deal-hells-kitchen-monday-caesar-wrap,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02-expanded-lunch-specials,,chk-hells-kitchen-2026-06-02-expanded-lunch-specials,rt-hells-kitchen-caesar-wrap-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hell-s-kitchen-monday-monday-caesar-wrap-and-fries,fixtures/prototype/deals.csv#deal-hells-kitchen-monday-caesar-wrap,Source-backed Hell's Kitchen Monday Caesar wrap and fries deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-classic-burger-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-hells-kitchen-wednesday-classic-hk-burger,hells-kitchen,deal-hells-kitchen-wednesday-classic-hk-burger,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02-expanded-lunch-specials,,chk-hells-kitchen-2026-06-02-expanded-lunch-specials,rt-hells-kitchen-classic-burger-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hell-s-kitchen-wednesday-wednesday-classic-hk-burger-and-fries,fixtures/prototype/deals.csv#deal-hells-kitchen-wednesday-classic-hk-burger,Source-backed Hell's Kitchen Wednesday Classic HK Burger and fries deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-nashville-chicken-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-hells-kitchen-thursday-nashville-hot-chicken,hells-kitchen,deal-hells-kitchen-thursday-nashville-hot-chicken,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02-expanded-lunch-specials,,chk-hells-kitchen-2026-06-02-expanded-lunch-specials,rt-hells-kitchen-nashville-chicken-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hell-s-kitchen-thursday-thursday-nashville-hot-chicken-sandwich-and-fries,fixtures/prototype/deals.csv#deal-hells-kitchen-thursday-nashville-hot-chicken,Source-backed Hell's Kitchen Thursday Nashville Hot Chicken Sandwich and fries deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-friday-wings-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-hells-kitchen-friday-wing-lunch,hells-kitchen,deal-hells-kitchen-friday-wing-lunch,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02-expanded-lunch-specials,,chk-hells-kitchen-2026-06-02-expanded-lunch-specials,rt-hells-kitchen-friday-wings-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hell-s-kitchen-friday-friday-wing-lunch-special,fixtures/prototype/deals.csv#deal-hells-kitchen-friday-wing-lunch,Source-backed Hell's Kitchen Friday wing lunch special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-tacobaby-lunch-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-tacobaby-daily-11-lunch-special,tacobaby,deal-tacobaby-daily-11-lunch-special,src-tacobaby-primary,cap-tacobaby-2026-06-02-lunch-special,,chk-tacobaby-2026-06-02-lunch-special,rt-tacobaby-lunch-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-tacobaby-daily-11-lunch-special,fixtures/prototype/deals.csv#deal-tacobaby-daily-11-lunch-special,Source-backed Tacobaby $11 lunch special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-tacobaby-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-islands-before-5-tacos-published,2026-06-02T16:05:00-04:00,codex_phase_1k,deal_published,deal,deal-islands-fresh-mex-monkey-junction-daily-before-5-tacos,islands-fresh-mex-monkey-junction,deal-islands-fresh-mex-monkey-junction-daily-before-5-tacos,src-islands-fresh-mex-monkey-junction-menu,cap-islands-fresh-mex-monkey-junction-2026-06-02-taco-specials,,chk-islands-fresh-mex-monkey-junction-2026-06-02-taco-specials,rt-islands-before-5-tacos-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-islands-fresh-mex-grill-monkey-junction-monday-tuesday-wednesday-thursday-friday-saturday-sunday-before-5-pm-taco-special,fixtures/prototype/deals.csv#deal-islands-fresh-mex-monkey-junction-daily-before-5-tacos,Source-backed Islands Fresh Mex Grill - Monkey Junction Before 5 PM taco special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-islands-fresh-mex-monkey-junction-menu.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-islands-after-5-tacos-published,2026-06-02T16:05:00-04:00,codex_phase_1k,deal_published,deal,deal-islands-fresh-mex-monkey-junction-daily-after-5-tacos,islands-fresh-mex-monkey-junction,deal-islands-fresh-mex-monkey-junction-daily-after-5-tacos,src-islands-fresh-mex-monkey-junction-menu,cap-islands-fresh-mex-monkey-junction-2026-06-02-taco-specials,,chk-islands-fresh-mex-monkey-junction-2026-06-02-taco-specials,rt-islands-after-5-tacos-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-islands-fresh-mex-grill-monkey-junction-monday-tuesday-wednesday-thursday-friday-saturday-sunday-after-5-pm-taco-special,fixtures/prototype/deals.csv#deal-islands-fresh-mex-monkey-junction-daily-after-5-tacos,Source-backed Islands Fresh Mex Grill - Monkey Junction After 5 PM taco special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-islands-fresh-mex-monkey-junction-menu.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-italian-bistro-large-pizza-published,2026-06-02T16:05:00-04:00,codex_phase_1k,deal_published,deal,deal-italian-bistro-monkey-junction-monday-large-pizza-special,italian-bistro-monkey-junction,deal-italian-bistro-monkey-junction-monday-large-pizza-special,src-italian-bistro-monkey-junction-specials,cap-italian-bistro-monkey-junction-2026-06-02-pizza-specials,,chk-italian-bistro-monkey-junction-2026-06-02-pizza-specials,rt-italian-bistro-large-pizza-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-italian-bistro-monkey-junction-monday-monday-large-pizza-special,fixtures/prototype/deals.csv#deal-italian-bistro-monkey-junction-monday-large-pizza-special,Source-backed Italian Bistro - Monkey Junction Monday large pizza special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-italian-bistro-monkey-junction-specials.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-italian-bistro-medium-pizza-published,2026-06-02T16:05:00-04:00,codex_phase_1k,deal_published,deal,deal-italian-bistro-monkey-junction-wednesday-medium-pizza-special,italian-bistro-monkey-junction,deal-italian-bistro-monkey-junction-wednesday-medium-pizza-special,src-italian-bistro-monkey-junction-specials,cap-italian-bistro-monkey-junction-2026-06-02-pizza-specials,,chk-italian-bistro-monkey-junction-2026-06-02-pizza-specials,rt-italian-bistro-medium-pizza-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-italian-bistro-monkey-junction-wednesday-wednesday-medium-pizza-special,fixtures/prototype/deals.csv#deal-italian-bistro-monkey-junction-wednesday-medium-pizza-special,Source-backed Italian Bistro - Monkey Junction Wednesday medium pizza special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-italian-bistro-monkey-junction-specials.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-k38-monday-5-food-published,2026-06-02T16:05:00-04:00,codex_phase_1k,deal_published,deal,deal-k38-independence-monday-5-food-specials,k38-independence,deal-k38-independence-monday-5-food-specials,src-k38-independence-specials,cap-k38-independence-2026-06-02-food-specials,,chk-k38-independence-2026-06-02-food-specials,rt-k38-monday-5-food-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-k38-independence-monday-monday-5-food-specials,fixtures/prototype/deals.csv#deal-k38-independence-monday-5-food-specials,Source-backed K38 Independence Monday $5 food specials deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-k38-independence-specials.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-k38-wednesday-quesadilla-published,2026-06-02T16:05:00-04:00,codex_phase_1k,deal_published,deal,deal-k38-independence-wednesday-half-off-de-la-casa-quesadilla,k38-independence,deal-k38-independence-wednesday-half-off-de-la-casa-quesadilla,src-k38-independence-specials,cap-k38-independence-2026-06-02-food-specials,,chk-k38-independence-2026-06-02-food-specials,rt-k38-wednesday-quesadilla-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-k38-independence-wednesday-wednesday-half-off-de-la-casa-quesadilla,fixtures/prototype/deals.csv#deal-k38-independence-wednesday-half-off-de-la-casa-quesadilla,Source-backed K38 Independence Wednesday half off De La Casa quesadilla deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-k38-independence-specials.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-barrel-smash-burgers-published,2026-06-02T16:35:00-04:00,codex_phase_1l,deal_published,deal,deal-true-blue-butcher-barrel-wednesday-7-smash-burgers,true-blue-butcher-barrel,deal-true-blue-butcher-barrel-wednesday-7-smash-burgers,src-true-blue-butcher-barrel-primary,cap-true-blue-butcher-barrel-2026-06-02-weekly-deals,,chk-true-blue-butcher-barrel-2026-06-02-weekly-deals,rt-true-blue-barrel-smash-burgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-barrel-wednesday-wednesday-7-smash-burgers,fixtures/prototype/deals.csv#deal-true-blue-butcher-barrel-wednesday-7-smash-burgers,Source-backed True Blue Butcher & Barrel Wednesday $7 smash burgers deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-barrel-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-barrel-oysters-published,2026-06-02T16:35:00-04:00,codex_phase_1l,deal_published,deal,deal-true-blue-butcher-barrel-thursday-1-raw-oysters,true-blue-butcher-barrel,deal-true-blue-butcher-barrel-thursday-1-raw-oysters,src-true-blue-butcher-barrel-primary,cap-true-blue-butcher-barrel-2026-06-02-weekly-deals,,chk-true-blue-butcher-barrel-2026-06-02-weekly-deals,rt-true-blue-barrel-oysters-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-barrel-thursday-thursday-1-raw-oysters,fixtures/prototype/deals.csv#deal-true-blue-butcher-barrel-thursday-1-raw-oysters,Source-backed True Blue Butcher & Barrel Thursday $1 raw oysters deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-barrel-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-barrel-bar-snacks-published,2026-06-02T16:35:00-04:00,codex_phase_1l,deal_published,deal,deal-true-blue-butcher-barrel-friday-saturday-5-bar-snacks,true-blue-butcher-barrel,deal-true-blue-butcher-barrel-friday-saturday-5-bar-snacks,src-true-blue-butcher-barrel-primary,cap-true-blue-butcher-barrel-2026-06-02-weekly-deals,,chk-true-blue-butcher-barrel-2026-06-02-weekly-deals,rt-true-blue-barrel-bar-snacks-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-barrel-friday-saturday-friday-and-saturday-5-bar-snacks,fixtures/prototype/deals.csv#deal-true-blue-butcher-barrel-friday-saturday-5-bar-snacks,Source-backed True Blue Butcher & Barrel Friday/Saturday $5 bar snacks deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-barrel-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-coquina-friday-apps-published,2026-06-02T16:35:00-04:00,codex_phase_1l,deal_published,deal,deal-coquina-fishbar-friday-half-priced-apps,coquina-fishbar,deal-coquina-fishbar-friday-half-priced-apps,src-coquina-fishbar-primary,cap-coquina-fishbar-2026-06-02-friday-apps,,chk-coquina-fishbar-2026-06-02-friday-apps,rt-coquina-friday-apps-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-coquina-fishbar-friday-friday-half-priced-apps,fixtures/prototype/deals.csv#deal-coquina-fishbar-friday-half-priced-apps,Source-backed Coquina Fishbar Friday half-priced apps deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-coquina-fishbar-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-pinpoint-public-hold-2026-06-02,2026-06-02T17:00:00-04:00,codex_phase_1m,restaurant_public_hold,restaurant,pinpoint-restaurant,pinpoint-restaurant,,src-pinpoint-restaurant-primary,cap-pinpoint-restaurant-2026-06-01,,,rt-pinpoint-restaurant-seed-review,status=active;source_status=active,status=needs_review;source_status=needs_review,PinPoint moved to needs_review public hold until operating status is reconfirmed.,fixtures/prototype/evidence/verified-static/src-pinpoint-restaurant-primary.md,No public deal rows affected; preserve source lineage.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-rebellion-nc-burgers-published,2026-06-02T17:35:00-04:00,codex_phase_1n,deal_published,deal,deal-rebellion-nc-monday-half-price-burgers,rebellion-nc,deal-rebellion-nc-monday-half-price-burgers,src-rebellion-nc-daily-features,cap-rebellion-nc-2026-06-02-daily-features,,chk-rebellion-nc-2026-06-02-daily-features,rt-rebellion-nc-burgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-rebellion-nc-monday-half-price-burgers,fixtures/prototype/deals.csv#deal-rebellion-nc-monday-half-price-burgers,Source-backed Rebellion NC Monday half-price burgers deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-rebellion-nc-daily-features.md,Static prototype deal; alcohol copy suppressed from official image.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-rebellion-nc-communal-grub-published,2026-06-02T17:35:00-04:00,codex_phase_1n,deal_published,deal,deal-rebellion-nc-tuesday-3-off-communal-grub,rebellion-nc,deal-rebellion-nc-tuesday-3-off-communal-grub,src-rebellion-nc-daily-features,cap-rebellion-nc-2026-06-02-daily-features,,chk-rebellion-nc-2026-06-02-daily-features,rt-rebellion-nc-communal-grub-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-rebellion-nc-tuesday-3-off-communal-grub,fixtures/prototype/deals.csv#deal-rebellion-nc-tuesday-3-off-communal-grub,Source-backed Rebellion NC Tuesday $3 off communal grub deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-rebellion-nc-daily-features.md,Static prototype deal; alcohol copy suppressed from official image.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-rebellion-nc-wings-published,2026-06-02T17:35:00-04:00,codex_phase_1n,deal_published,deal,deal-rebellion-nc-wednesday-10-wings,rebellion-nc,deal-rebellion-nc-wednesday-10-wings,src-rebellion-nc-daily-features,cap-rebellion-nc-2026-06-02-daily-features,,chk-rebellion-nc-2026-06-02-daily-features,rt-rebellion-nc-wings-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-rebellion-nc-wednesday-10-wings,fixtures/prototype/deals.csv#deal-rebellion-nc-wednesday-10-wings,Source-backed Rebellion NC Wednesday $10 wings deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-rebellion-nc-daily-features.md,Static prototype deal; alcohol copy suppressed from official image.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
